Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2/2/2021 5:30,32.3182,-86.9023,460860,7688,242143,211029,1,9399.196645,2144425,,1.668185566,84000001,USA,43735.34753,
Alaska,US,2/2/2021 5:30,61.3707,-152.4044,54459,262,,54197,2,7444.381412,1507662,,0.48109587,84000002,USA,206092.8583,
Arizona,US,2/2/2021 5:30,33.7298,-111.4312,762145,13124,104102,644919,4,10470.87007,3467337,,1.721982038,84000004,USA,47636.6508,
Arkansas,US,2/2/2021 5:30,34.9697,-92.3731,296494,4895,274904,16695,5,9824.826264,2438501,,1.650960896,84000005,USA,80803.82291,
California,US,2/2/2021 8:30,36.1162,-119.6816,3342647,41402,,3301245,6,8459.779648,42569193,,1.23859923,84000006,USA,107736.7705,
Colorado,US,2/2/2021 5:30,39.0598,-105.3111,397101,5641,21043,370417,8,6895.627791,5467870,,1.420545403,84000008,USA,94949.13467,
Connecticut,US,2/2/2021 5:30,41.5978,-72.7554,253954,7119,9800,237035,9,7122.960929,5810473,,2.803263583,84000009,USA,162973.4997,
Delaware,US,2/2/2021 5:30,39.3185,-75.5071,78495,1101,,77394,10,8060.988083,1236920,,1.402637111,84000010,USA,127024.6179,
District of Columbia,US,2/2/2021 5:30,38.8974,-77.0268,37008,916,25915,10177,11,5243.790639,1106070,,2.47514051,84000011,USA,156722.8576,
Florida,US,2/2/2021 5:30,27.7663,-81.6868,1727107,26685,,1700422,12,8041.382572,19217006,,1.545069298,84000012,USA,89474.07262,
Georgia,US,2/2/2021 5:30,33.0406,-83.6431,912479,14242,,898237,13,8594.1664,6474133,,1.560803043,84000013,USA,60976.50061,
Hawaii,US,2/2/2021 5:30,21.0943,-157.4983,26156,409,,25747,15,1847.342133,993306,,1.563694755,84000015,USA,70155.07051,
Idaho,US,2/2/2021 5:30,44.2405,-114.4788,163165,1735,81591,79839,16,9130.333816,603115,,1.06334079,84000016,USA,33748.91232,
Illinois,US,2/2/2021 5:30,40.3495,-88.9861,1128613,21273,,1107340,17,8906.478398,16100555,,1.884879937,84000017,USA,127057.9422,
Indiana,US,2/2/2021 5:30,39.8494,-86.2583,628391,9989,407664,210738,18,9334.084349,7039744,,1.589615383,84000018,USA,104567.9589,
Iowa,US,2/2/2021 5:30,42.0115,-93.2105,320187,4906,283036,32245,19,10148.33268,1255188,,1.532229603,84000019,USA,39783.20608,
Kansas,US,2/2/2021 5:30,38.5266,-96.7265,279008,3797,5715,269496,20,9576.997193,1177617,,1.360892878,84000020,USA,40421.9044,
Kentucky,US,2/2/2021 5:30,37.6681,-84.6701,364498,3780,43492,317226,21,8158.564873,3621461,,1.037042727,84000021,USA,81059.22255,
Louisiana,US,2/2/2021 5:30,31.1695,-91.8678,401591,8912,344321,48358,22,8638.606056,5018961,,2.219173238,84000022,USA,107962.6458,
Maine,US,2/2/2021 5:30,44.6939,-69.3819,39543,595,12422,26526,23,2941.723478,1408036,,1.504691096,84000023,USA,104748.0606,
Maryland,US,2/2/2021 5:30,39.0639,-76.8021,355636,7154,9501,338981,24,5882.481375,7038562,,2.011607374,84000024,USA,116422.9996,
Massachusetts,US,2/2/2021 5:30,42.2302,-71.5301,526423,14607,389717,122099,25,7637.617278,13721200,,2.77476478,84000025,USA,199074.2695,
Michigan,US,2/2/2021 5:30,43.3266,-84.5361,612710,15536,481801,115373,26,6135.163445,9416174,,2.53562044,84000026,USA,94285.65964,
Minnesota,US,2/2/2021 5:30,45.6945,-93.9002,462528,6270,447420,8838,27,8201.38619,6255856,,1.355593607,84000027,USA,110926.6704,
Mississippi,US,2/2/2021 5:30,32.7416,-89.6787,275706,6056,222812,46838,28,9263.850701,1603336,,2.196542694,84000028,USA,53872.84037,
Missouri,US,2/2/2021 5:30,38.4561,-92.2884,474767,7044,,467723,29,7735.601949,4165512,,1.48367515,84000029,USA,67870.64549,
Montana,US,2/2/2021 5:30,46.9219,-110.4544,94070,1234,89218,3618,30,8801.640752,958978,,1.311789093,84000030,USA,89726.58494,
Nebraska,US,2/2/2021 5:30,41.1254,-98.2681,190950,1920,136972,52058,31,9871.237092,2102977,,1.005498822,84000031,USA,108714.2423,
Nevada,US,2/2/2021 5:30,38.3135,-117.0554,279146,4278,,274868,32,9062.722797,2496070,,1.532531364,84000032,USA,81037.12929,
New Hampshire,US,2/2/2021 5:30,43.4525,-71.5639,66058,1059,60337,4662,33,4858.238258,1267372,,1.603136638,84000033,USA,93208.92454,
New Jersey,US,2/2/2021 5:30,40.2989,-74.521,700346,21513,68012,610821,34,7884.834709,9567658,,3.071767384,84000034,USA,107717.331,
New Mexico,US,2/2/2021 5:30,34.8405,-106.2485,174550,3295,104125,67130,35,8324.474719,2354900,,1.887711258,84000035,USA,112307.6798,
New York,US,2/2/2021 5:30,42.1657,-74.9481,1428839,43805,128354,1256680,36,7344.871204,32336789,,3.06577578,84000036,USA,166225.5512,
North Carolina,US,2/2/2021 5:30,35.6301,-79.8064,761302,9342,683697,68263,37,7258.732863,8989114,,1.227108296,84000037,USA,85707.87572,
North Dakota,US,2/2/2021 5:30,47.5289,-99.784,97680,1447,95308,925,38,12817.85472,1346554,,1.481367731,84000038,USA,176698.7463,
Ohio,US,2/2/2021 5:30,40.3888,-82.7649,899079,11230,786249,101600,39,7691.601578,9104857,,1.249055978,84000039,USA,77891.85652,
Oklahoma,US,2/2/2021 5:30,35.5653,-96.9289,390868,3564,358040,29264,40,9877.959682,3186209,,0.911816777,84000040,USA,80521.41398,
Oregon,US,2/2/2021 5:30,44.572,-122.0709,143373,1958,,141415,41,3399.287343,3162750,,1.365668571,84000041,USA,74986.89463,
Pennsylvania,US,2/2/2021 5:30,40.5908,-77.2098,849966,21651,693783,134532,42,6639.327686,4492726,,2.547278362,84000042,USA,35093.9686,
