FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
1001,Autauga,Alabama,US,2/2/2021 5:22,32.53952745,-86.64408227,5683,69,0,5614,"Autauga, Alabama, US",10172.00952,1.214147457
1003,Baldwin,Alabama,US,2/2/2021 5:22,30.72774991,-87.72207058,18211,224,0,17987,"Baldwin, Alabama, US",8157.807502,1.230025809
1005,Barbour,Alabama,US,2/2/2021 5:22,31.868263,-85.3871286,1956,40,0,1916,"Barbour, Alabama, US",7923.519404,2.044989775
1007,Bibb,Alabama,US,2/2/2021 5:22,32.99642064,-87.1251146,2309,52,0,2257,"Bibb, Alabama, US",10310.79754,2.252057168
1009,Blount,Alabama,US,2/2/2021 5:22,33.98210918,-86.56790593,5720,100,0,5620,"Blount, Alabama, US",9891.744198,1.748251748
1011,Bullock,Alabama,US,2/2/2021 5:22,32.10030533,-85.71265535,1089,29,0,1060,"Bullock, Alabama, US",10781.11078,2.662993572
1013,Butler,Alabama,US,2/2/2021 5:22,31.75300095,-86.68057478,1827,60,0,1767,"Butler, Alabama, US",9394.282188,3.28407225
1015,Calhoun,Alabama,US,2/2/2021 5:22,33.77483727,-85.82630386,12062,232,0,11830,"Calhoun, Alabama, US",10617.49043,1.923395788
1017,Chambers,Alabama,US,2/2/2021 5:22,32.91360079,-85.39072749,3210,76,0,3134,"Chambers, Alabama, US",9652.974078,2.367601246
1019,Cherokee,Alabama,US,2/2/2021 5:22,34.17805983,-85.60638968,1707,35,0,1672,"Cherokee, Alabama, US",6516.262025,2.050380785
1021,Chilton,Alabama,US,2/2/2021 5:22,32.85044126,-86.7173256,3553,79,0,3474,"Chilton, Alabama, US",7997.208967,2.223473121
1023,Choctaw,Alabama,US,2/2/2021 5:22,32.02227341,-88.2656443,535,24,0,511,"Choctaw, Alabama, US",4249.741838,4.485981308
1025,Clarke,Alabama,US,2/2/2021 5:22,31.68099859,-87.83548597,3228,38,0,3190,"Clarke, Alabama, US",13665.22733,1.177199504
1027,Clay,Alabama,US,2/2/2021 5:22,33.26984193,-85.85836077,1330,50,0,1280,"Clay, Alabama, US",10049.1122,3.759398496
1029,Cleburne,Alabama,US,2/2/2021 5:22,33.67679204,-85.52005899,1286,28,0,1258,"Cleburne, Alabama, US",8625.083836,2.177293935
1031,Coffee,Alabama,US,2/2/2021 5:22,31.39932826,-85.98901039,4922,72,0,4850,"Coffee, Alabama, US",9403.538268,1.462819992
1033,Colbert,Alabama,US,2/2/2021 5:22,34.69847452,-87.80168544,5745,104,0,5641,"Colbert, Alabama, US",10399.88414,1.8102698
1035,Conecuh,Alabama,US,2/2/2021 5:22,31.43401703,-86.99320044,1010,23,0,987,"Conecuh, Alabama, US",8369.934532,2.277227723
1037,Coosa,Alabama,US,2/2/2021 5:22,32.93690146,-86.24847739,681,19,0,662,"Coosa, Alabama, US",6386.570384,2.790014684
1039,Covington,Alabama,US,2/2/2021 5:22,31.2477854,-86.45050893,3589,87,0,3502,"Covington, Alabama, US",9687.171044,2.424073558
1041,Crenshaw,Alabama,US,2/2/2021 5:22,31.72941803,-86.31593104,1313,48,0,1265,"Crenshaw, Alabama, US",9533.83677,3.65575019
