region,PercentOver60,October Ratio,People per physician,Leftover Ophtho Per Capita,state,Total Physicians,Physicians over 60,Number,Risk,Remaining,Lat,Long_,State Pop,6/4/2020,June ratio,June remaining,10/1/2020,October Remaining
alabama,35.4,21506.60782,23056,35690.40248,AL,212,75.04800001,4.337265788,1.535392089,2.801873699,32.3182,-86.9023,4887872,19072,254.1306897,139.2604708,1614027.904,11785.35475
alaska,NA,#VALUE!,24581,#VALUE!,AK,30,#VALUE!,4.068182743,#VALUE!,#VALUE!,61.3707,-152.4044,737430,512,#VALUE!,#VALUE!,1508116.444,#VALUE!
arizona,35.9,2733.000662,23826,37170.0468,AZ,301,108.059,4.19709561,1.506757324,2.690338286,33.7298,-111.4312,7171626,22886,211.7917064,118.6165719,295325.3185,1530.650917
arkansas,36.2,79047.82627,23731,37195.92476,AR,127,45.974,4.213897434,1.525430871,2.688466563,34.9697,-92.3731,3013837,8425,183.2557532,103.9789697,3634144.765,44851.58794
california,37.7,359.080829,15906,25531.30016,CA,2487,937.5990001,6.286935748,2.370174777,3.916760971,36.1162,-119.6816,39558222,122168,130.2987738,78.84853565,336673.8262,217.2928933
colorado,37.9,4329.28844,19984,32180.35427,CO,285,108.015,5.004003203,1.896517214,3.107485989,39.0598,-105.3111,5695440,27346,253.1685414,154.5102692,467628.0909,2642.19053
connecticut,46.8,1268.768696,12851,24156.01504,CT,278,130.104,7.781495603,3.641739942,4.139755661,41.5978,-72.7554,3572578,43239,332.3418189,292.3608482,165071.8824,1116.134868
delaware,42,49780.24186,19343,33350,DE,50,21,5.169828879,2.171328129,2.99850075,39.3185,-75.5071,967150,9746,464.0952381,336.0689655,1045385.079,36047.76134
district of columbia,33,5661.425599,7025.000002,10485.07463,DC,99.99999997,32.99999999,14.23487544,4.697508895,9.537366545,38.8974,-77.0268,702500,9120,276.3636365,136.119403,186827.0447,2788.463355
florida,42.7,329.4706438,15895,27739.9651,FL,1340,572.18,6.291286568,2.686379365,3.604907203,27.7663,-81.6868,21299300,60183,105.1819358,78.38165196,188516.513,245.5217538
georgia,32,2895.194221,22287,32775,GA,472,151.04,4.486920626,1.4358146,3.051106026,33.0406,-83.6431,10519464,49859,330.1046081,155.343345,437290.135,1362.444339
hawaii,43.1,17971.55103,12246,21521.96837,HI,116,49.996,8.165931733,3.519516577,4.646415156,21.0943,-157.4983,1420536,655,13.10104808,9.923640991,898505.6652,13612.89718
idaho,34.4,41663.64906,27410,41783.53659,ID,64,22.016,3.648303539,1.255016417,2.393287122,44.2405,-114.4788,1754240,2990,135.8103198,71.21760669,917266.8975,21848.01108
illinois,38.5,1667.791509,16965,27585.36585,IL,751,289.135,5.894488653,2.269378131,3.625110522,40.3495,-88.9861,12740715,124759,431.4904802,270.1200567,482216.8978,1044.064603
indiana,37.8,2065.691281,24785,39847.26688,IN,270,102.06,4.034698406,1.525115997,2.509582409,39.8494,-86.2583,6691950,36096,353.6743093,214.9339049,210824.4521,1255.355794
iowa,32.3,4496.79703,19603,28955.68685,IA,161,52.003,5.101260011,1.647706984,3.453553027,42.0115,-93.2105,3156083,20806,400.0923024,190.8859877,233846.936,2145.443783
kansas,38.9,1565.343404,22225,36374.79542,KS,131,50.959,4.49943757,1.750281215,2.749156355,38.5266,-96.7265,2911475,10167,199.5133343,127.022401,79768.33451,996.5934274
kentucky,40.8,6876.705562,22798,38510.13514,KY,196,79.968,4.38634968,1.789630669,2.596719011,37.6681,-84.6701,4468408,10705,133.8660464,92.25903197,549916.3903,4739.351129
louisiana,42.3,7316.849453,14700,25476.60312,LA,317,134.091,6.802721088,2.87755102,3.925170068,31.1695,-91.8678,4659900,41562,309.9536882,227.2277471,981123.6599,5363.998819
maine,46.7,3572.47668,17845,33480.30019,ME,75,35.025,5.603810591,2.616979546,2.986831045,44.6939,-69.3819,1338375,2446,69.83583155,61.18824265,125125.9957,3130.106209
maryland,36.7,1807.43117,10620,16777.25118,MD,569,208.823,9.416195857,3.45574388,5.960451977,39.0639,-76.8021,6042780,55858,267.4896922,155.0848611,377433.1993,1047.910331
massachusetts,34.9,1722.505213,11581,17789.55453,MA,596,208.004,8.634832916,3.013556688,5.621276228,42.2302,-71.5301,6902276,102063,490.6780639,263.051681,358287.9744,923.4321344
michigan,31.6,431.7971038,16307,23840.64327,MI,613,193.708,6.132335807,1.937818115,4.194517692,43.3266,-84.5361,9996191,58241,300.6638858,138.9031987,83642.55338,199.4852117
minnesota,31.1,8616.415907,19620,28476.05225,MN,286,88.946,5.096839959,1.585117227,3.511722732,45.6945,-93.9002,5611320,26273,295.3814674,133.3289352,766395.7291,3889.267557
mississippi,41.1,6105.658262,23151,39305.60272,MS,129,53.01900001,4.319467842,1.775301283,2.544166559,32.7416,-89.6787,2986479,16560,312.3408589,217.9492241,323715.8954,4260.484797
missouri,34,279.594008,18793,28474.24242,MO,326,110.84,5.321130208,1.809184271,3.511945937,38.4561,-92.2884,6126518,14438,130.259834,67.10355085,30990.19985,144.0332769
montana,40,4255.794741,19315,32191.66667,MT,55,22,5.177323324,2.07092933,3.106393994,46.595806,-112.027031,1062325,539,24.5,16.33333333,93627.48433,2837.196495
nebraska,41.2,7989.599788,19889,33824.82993,NE,97,39.964,5.027904872,2.071496807,2.956408065,41.1254,-98.2681,1929233,15139,378.8159343,265.4288519,319296.3659,5598.154953
nevada,31.9,7321.442371,25499,37443.46549,NV,119,37.961,3.92172242,1.251029452,2.670692968,38.3135,-117.0554,3034381,9129,240.4836543,112.6494651,277929.2738,3429.574326
new hampshire,40.3,5968.043877,18840,31557.78894,NH,72,29.016,5.307855626,2.139065817,3.168789809,43.4525,-71.5639,1356480,4876,168.0452164,113.4375582,173168.7611,4028.679534
new jersey,43.3,2875.59524,15413,27183.42152,NJ,578,250.274,6.488029585,2.80931681,3.678712775,40.2989,-74.521,8908714,162530,649.4082486,495.9325778,719686.723,2196.001303
new mexico,41.3,4664.202633,26193,44621.80579,NM,80.00000001,33.04,3.81781392,1.576757149,2.241056771,34.8405,-106.2485,2095440,8353,252.81477,177.874787,154105.255,3281.628088
new york,42.3,128.3893872,11695,20268.63085,NY,1671,706.833,8.550662676,3.616930312,4.933732364,42.1657,-74.9481,19542345,375133,530.7236646,389.0747143,90749.85573,94.12254903
north carolina,31.5,2477.462058,19481,28439.41606,NC,533,167.895,5.133206714,1.616960115,3.516246599,35.6301,-79.8064,10383373,32075,191.0420203,87.85144,415953.4922,1139.270873
north dakota,48.4,18768.75576,23752,46031.00775,ND,32,15.488,4.210171775,2.037723139,2.172448636,47.5289,-99.784,760064,2706,174.7159091,163.8808139,290690.4892,17604.80191
ohio,39.4,227.9297412,18067,29813.53135,OH,647,254.918,5.53495323,2.180771573,3.354181657,40.367474,-82.996216,11689349,37282,146.2509513,95.08725216,58103.39379,148.191944
oklahoma,34,1944.658293,24799,37574.24242,OK,159,54.06,4.032420662,1.371023025,2.661397637,36,-96.921387,3943041,6907,127.7654458,65.81856299,105128.2273,1001.793666
oregon,32.4,12344.46737,14756,21828.40237,OR,284,92.016,6.77690431,2.195716996,4.581187314,44,-120.5,4190704,4474,48.62197879,23.30402533,1135888.509,5916.579032
pennsylvania,38.1,1891.80954,14637,23646.20355,PA,875,333.375,6.832001093,2.602992416,4.229008677,41.203323,-77.194527,12807375,78335,234.9756281,144.6295869,630682.0052,1164.425581
rhode island,36.4,5975.126237,16020,25188.67925,RI,66,24.024,6.242197253,2.2721598,3.970037453,41.6809,-71.5118,1057320,15325,637.9037629,365.089575,143546.4327,3419.726337
south carolina,35.5,215.1413053,20255,31403.10078,SC,251,89.10500001,4.93705258,1.752653666,3.184398914,33.8569,-80.945,5084005,12415,139.3300039,76.68550603,19170.16601,118.411106
south dakota,30.6,16733.36352,23844,34357.3487,SD,37,11.322,4.193927193,1.283341721,2.910585472,44.2998,-99.4388,882228,5247,463.4340223,204.3383441,189455.1418,7378.111294
tennessee,38,428.301177,19795,31927.41935,TN,342,129.96,5.051780753,1.919676686,3.132104067,35.7478,-86.6923,6769890,25190,193.8288704,118.7983399,55662.02096,262.507173
texas,34.2,91.92397348,22689,34481.76292,TX,1265,432.63,4.407422099,1.507338358,2.900083741,31.0545,-97.5635,28701585,70555,163.0839285,84.76398717,39769.06865,47.77811388
utah,26.1,213.5150242,17961,24304.46549,UT,176,45.936,5.567618729,1.453148488,4.114470241,40.15,-111.8624,3161136,10813,235.3927203,83.13599459,9808.026149,75.40923045
vermont,28.2,1072.516308,16059,22366.29526,VT,39,10.998,6.227037798,1.756024659,4.471013139,44.0459,-72.7107,626301,1026,93.28968904,36.64023998,11795.53435,421.2389954
virginia,36.8,34.68285743,18886,29882.91139,VA,451,165.968,5.294927459,1.948533305,3.346394154,37.7693,-78.17,8517586,47856,288.3447412,167.8969379,5756.244482,20.19508154
washington,30.7,104.9525213,19624,28317.46032,WA,384,117.888,5.09580106,1.564410925,3.531390135,47.4009,-121.4905,7535616,22729,192.8016422,85.41140571,12372.64283,46.49411837
west virginia,45.1,773.9479958,19844,36145.71949,WV,90.99999999,41.041,5.039306591,2.272727273,2.766579318,38.4912,-80.9545,1805804,2102,51.21707561,42.0745011,31763.5997,635.7933447
wisconsin,43.7,16.96856386,18282,32472.46892,WI,318,138.966,5.469861066,2.390329286,3.07953178,44.2685,-89.6165,5813676,19892,143.142927,111.1073874,2358.053446,13.17098119
wyoming,NA,#VALUE!,52522,#VALUE!,WY,11,#VALUE!,1.903964053,#VALUE!,#VALUE!,42.756,-107.3025,577742,921,#VALUE!,#VALUE!,1533.381514,#VALUE!
